song,relpitch_2gram,relpitch_3gram,relrhythm_2gram,relrhythm_3gram
NHSDiscography-049,0.8501859025444123,-0.001361682104463302,0.9850715543001496,0.9584525899622438
NHSDiscography-050,0.778605396881089,0.47759739428957737,0.9938606047935942,0.9650162617496872
NHSDiscography-051,0.9623383708137765,0.7583808456162499,0.9706750023864453,0.8645710514436543
NHSDiscography-052,0.8331869068602744,0.45280195075484586,0.842932291425954,0.4019829973718778
NHSDiscography-053,0.995184229839958,0.9850654761535392,0.9673985490668728,0.9522498346965317
NHSDiscography-054,0.9818649810282228,0.9132296138220427,0.997820757771016,0.984556020434615
NHSDiscography-055,0.7367972420380188,0.2303947764522768,0.9474826062586224,0.7569099228879468
NHSDiscography-056,0.9929562491007139,0.9683606826691804,0.8654034083724617,0.6269440916241924
NHSDiscography-057,0.9145438595617144,0.7301809645391164,0.6625182328609491,0.3343640202021986
NHSDiscography-058,0.9875568302048803,0.8368945783876641,0.9740225547357658,0.9114366319457821
NHSDiscography-059,0.5679335736761633,0.6836441624187382,0.898821932189625,0.32307250420548894
NHSDiscography-060,0.798557377751543,0.3945866342987864,0.6948417864713505,0.648613427155531
NHSDiscography-061,0.9335939661673645,0.5684075311705348,0.7389910466845573,0.3114312897156858
NHSDiscography-062,0.9754188980786371,0.8668361635127416,0.99063700767225,0.9766601172651705
NHSDiscography-063,0.9856041072200654,0.9750504486936921,0.9636860311029378,0.9340725391255098
NHSDiscography-064,0.8547697276612093,0.3778854707549044,0.9616916774787122,0.770469897128832
NHSDiscography-065,0.9725818441013221,0.9063978628700284,0.9752342457144749,0.9163947807901932
NHSDiscography-066,0.943743835689442,0.9342945464007326,0.9022330650665449,0.7432801416317829
NHSDiscography-067,0.9363646768982001,0.39072944013320365,0.9645611965925142,0.877108356722699
NHSDiscography-068,0.9829089550484751,0.9450373680244444,0.9642360052617537,0.9638033463156175
NHSDiscography-069,0.8886583269298682,0.1924534292633191,0.7422774291956878,0.4323491903053793
NHSDiscography-070,0.9888458836018049,0.975144818717243,0.6476989822865032,0.6955705597334545
NHSDiscography-071,0.6480622486971469,0.3104675544401563,0.934509679665577,0.6510751948105794
NHSDiscography-072,0.945312758440954,0.7251531100731798,0.9693765323412064,0.9266901633288477
NHSDiscography-073,0.75996933498869,0.0929800252780355,0.9236135903229079,0.5840112772024975
NHSDiscography-074,0.9711370938395804,0.7062250477686718,0.9632566569510707,0.906361115711304
NHSDiscography-075,0.71511486845315,0.4271522707538886,0.7530187770128784,0.35917691407508157
NHSDiscography-076,0.9603369393624438,0.8958933122430734,0.9820315056929629,0.9230428488649964
NHSDiscography-077,0.9137035956285094,0.33057793175411,0.983657204420971,0.9744190744230573
NHSDiscography-078,0.9704537466874247,0.7084856259454073,0.9714321954552785,0.8062141279511967
NHSDiscography-079,0.9953057529444236,0.9832589725108989,0.9601578057916809,0.8730232976464365
NHSDiscography-080,0.973058220468662,0.8917189399964222,0.9132471804603128,0.4978877077239988
NHSDiscography-081,0.9701034854622004,0.8440814524027795,0.8924969086009746,0.2928074241610975
NHSDiscography-082,0.7416889359927797,0.6399455021288569,0.7111061154717966,0.6405946730250248
NHSDiscography-083,0.8559715582563621,0.0867218927374892,0.7487277126038226,0.11075448024629386
NHSDiscography-084,0.7382969276829794,0.7796429011188163,0.9519484776021311,0.9304534905826004
NHSDiscography-085,0.9772091677115101,0.8156546347680121,0.9955797890722103,0.9771614127502566
NHSDiscography-086,0.9005008102225511,-0.08138150087109608,0.986271526420358,0.9683473692871791
NHSDiscography-087,0.9970548353769467,0.9317345771476534,0.5178810466260657,0.7004581480750517
NHSDiscography-088,0.9289446598744024,0.578719037797871,0.9986790674041165,0.9987918829357283
NHSDiscography-089,0.6737635130247779,0.44668804047094257,0.7994641494206347,0.4680840470451628
NHSDiscography-090,0.9216877837878465,0.5238518973488958,0.27194559081198355,-0.09243038539782344
NHSDiscography-091,0.9958046577686785,0.8794568260119723,0.9186261736263441,0.7304771189734494
NHSDiscography-092,0.964919921828927,0.34436377015997965,0.9648280465043271,0.9345424553505365
NHSDiscography-093,0.9530998369720438,0.9198846718700645,0.9806839423356244,0.9713833637029972
NHSDiscography-094,0.5572941097716149,0.18040361987353493,0.7485288909285739,0.49293620952393524
NHSDiscography-095,0.8674574686869165,0.7719620943496793,0.9794538572430151,0.9192567793618148
NHSDiscography-096,0.9464449002934536,0.7587423061744084,0.9947814700842477,0.9717323878794367
NHSDiscography-097,0.8729381136812919,0.2367307987084799,0.975672078643393,0.9125119444607963
NHSDiscography-098,0.9492526427023421,0.6707772546758988,0.6698199492505619,0.47559955032708734
NHSDiscography-099,0.9820837497487063,0.7555326246620311,0.7740895183674119,0.6561450210317561
NHSDiscography-100,0.9889123038564498,0.9748599392912841,0.9863715189134836,0.9655146318384029
NHSDiscography-101,0.973574512395416,0.1505511566087686,0.9861553939815625,0.9603603957763209
NHSDiscography-102,0.944736267959563,0.7870331651747278,0.9966570671814043,0.9860518323005547
NHSDiscography-103,0.9881443655361464,0.8871505662260563,0.7164644523370084,0.5940131014128591
NHSDiscography-104,0.9606194154579784,0.9383474718218353,0.8663327970842306,0.6215664858208261
NHSDiscography-105,0.82102582695892945,0.1865009217489224,0.9945902991900003,0.9598099207431775
NHSDiscography-106,0.37581196729693966,0.36662575916788187,0.5018289709152042,0.7349734862897346
NHSDiscography-107,0.8090688519339441,0.5673318314056862,0.841862192691226,0.6230689885710594
NHSDiscography-108,0.9866243132599797,0.915643678903551,0.9959042948121398,0.9815089575877981
NHSDiscography-109,0.7089639578709501,0.12107009423039217,0.24217586405177627,0.2181228513154152
NHSDiscography-110,0.9932894746681923,0.964359137236755,0.9621982921867074,0.8787110979643333
NHSDiscography-111,0.938487725080049,0.7425853189942906,0.6940390501351726,0.5924648736314753
NHSDiscography-112,0.9963930396723725,0.9845532546417625,0.9933057916824101,0.9760089881779744
NHSDiscography-113,0.720662820512437,0.11748524959992246,0.9419673660300705,0.7495713585235948
NHSDiscography-114,0.911884123845757,0.7613115107588142,0.3606549723809166,0.016039013496404464
NHSDiscography-115,0.9151921372486357,0.5490325303387904,0.9912140874839761,0.9629062865628523
NHSDiscography-116,0.8272737903186256,0.5773430745333002,0.8033439125061544,0.4350321105531738
NHSDiscography-117,0.7757415018587264,0.07948105661183447,0.6230691741855442,0.4692121752684103
NHSDiscography-118,0.9882880323514118,0.9666031044541361,0.6736116375513514,0.46947581195957166
